Year;Month;Ano_Month
1774;8;1.016
1774;9;-0.754
1774;10;-0.363
1774;11;-2.999
1774;12;-3.633
1775;1;-0.092
1775;2;1.284
1775;3;1.214
1775;4;-1.483
1775;5;-1.157
1775;6;-2.133
1775;7;-0.093
1775;8;0.264
1775;9;-1.321
1775;10;1.428
1775;11;2.350
1775;12;-2.704
1776;1;-4.818
1776;2;-0.225
1776;3;-2.109
1776;4;-2.007
1776;5;-2.194
1776;6;-0.116
1776;7;-0.965
1776;8;0.567
1776;9;-2.242
1776;10;-1.474
1776;11;-0.887
1776;12;0.144
1777;1;1.140
1777;2;-0.550
1777;3;-1.706
1777;4;-3.544
1777;5;-1.187
1777;6;-2.345
1777;7;-2.237
1777;8;-2.294
1777;9;-1.664
1777;10;-2.899
1777;11;-0.948
1777;12;-1.208
1778;1;-1.544
1778;2;0.112
1778;3;-2.962
1778;4;0.640
1778;5;-1.381
1778;6;-2.439
1778;7;-1.323
1778;8;-3.281
1778;9;0.205
1778;10;-1.457
1778;11;-2.783
1778;12;-2.592
1779;1;-3.104
1779;2;-0.019
1779;3;-0.070
1779;4;-0.410
1779;5;1.016
1779;6;-2.263
1779;7;-1.629
1779;8;-1.194
1779;9;-0.410
1779;10;-0.181
1779;11;-0.535
1779;12;-1.567
1780;1;-3.052
1780;2;-1.307
1780;3;-1.519
1780;4;3.401
1780;5;1.827
1780;6;-0.697
1780;7;0.012
1780;8;-2.260
1780;9;-4.598
1780;10;-1.151
1780;11;-1.423
1780;12;-3.196
1781;1;-1.518
1781;2;-3.860
1781;3;-1.901
1781;4;-2.761
1781;5;-0.888
1781;6;-3.028
1781;7;-1.418
1781;8;-0.718
1781;9;-2.144
1781;10;-0.936
1781;11;1.705
1781;12;-0.735
1782;1;-2.394
1782;2;-3.263
1782;3;-2.389
1782;4;-0.322
1782;5;-0.175
1782;6;-0.584
1782;7;-1.092
1782;8;0.323
1782;9;-0.606
1782;10;-0.817
1782;11;-1.450
1782;12;-2.589
1783;1;-5.601
1783;2;0.563
1783;3;-2.342
1783;4;-0.897
1783;5;0.129
1783;6;0.282
1783;7;-2.649
1783;8;-1.412
1783;9;-3.669
1783;10;-2.599
1783;11;-4.764
1783;12;-2.364
1784;1;-1.290
1784;2;-3.384
1784;3;-2.371
1784;4;-1.116
1784;5;-3.101
1784;6;-1.411
1784;7;-0.837
1784;8;0.699
1784;9;-2.848
1784;10;-2.108
1784;11;-1.818
1784;12;-0.998
1785;1;-1.365
1785;2;-2.279
1785;3;-4.806
1785;4;-2.031
1785;5;-1.474
1785;6;0.613
1785;7;-0.531
1785;8;0.271
1785;9;-1.993
1785;10;-2.004
1785;11;-0.200
1785;12;-2.307
1786;1;-2.706
1786;2;-1.915
1786;3;-0.364
1786;4;-0.064
1786;5;-0.247
1786;6;-0.641
1786;7;0.168
1786;8;0.424
1786;9;0.760
1786;10;-1.065
1786;11;-2.279
1786;12;-3.660
1787;1;0.090
1787;2;-1.055
1787;3;-0.868
1787;4;-1.698
1787;5;-0.017
1787;6;0.179
1787;7;-1.254
1787;8;-0.824
1787;9;-2.408
1787;10;-2.003
1787;11;-1.381
1787;12;-1.517
1788;1;-3.362
1788;2;-0.751
1788;3;-1.798
1788;4;-0.967
1788;5;-1.490
1788;6;-0.650
1788;7;1.138
1788;8;-0.382
1788;9;-0.947
1788;10;-0.413
1788;11;-0.274
1788;12;-4.705
1789;1;0.132
1789;2;-1.351
1789;3;-2.663
1789;4;-1.381
1789;5;-0.291
1789;6;-0.847
1789;7;0.309
1789;8;-0.503
1789;9;-0.441
1789;10;-1.691
1789;11;-0.135
1789;12;0.119
1790;1;-0.144
1790;2;-0.480
1790;3;-1.035
1790;4;-2.317
1790;5;-1.234
1790;6;-0.138
1790;7;-1.267
1790;8;-0.869
1790;9;-1.099
1790;10;-0.743
1790;11;-1.096
1790;12;-0.299
1791;1;-1.771
1791;2;0.122
1791;3;-0.221
1791;4;0.013
1791;5;-0.896
1791;6;-0.277
1791;7;-1.004
1791;8;-0.275
1791;9;-0.916
1791;10;-1.313
1791;11;0.053
1791;12;0.326
1792;1;-2.883
1792;2;0.626
1792;3;-0.823
1792;4;-0.667
1792;5;0.228
1792;6;0.436
1792;7;-0.192
1792;8;-1.707
1792;9;0.396
1792;10;-1.693
1792;11;-1.218
1792;12;-0.376
1793;1;-1.217
1793;2;2.004
1793;3;0.334
1793;4;0.705
1793;5;-0.004
1793;6;-0.065
1793;7;-0.331
1793;8;-0.696
1793;9;-1.275
1793;10;-1.184
1793;11;-0.479
1793;12;-1.877
1794;1;1.694
1794;2;0.645
